Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,24.714001,25.100000,24.650000,25.083000,21.972837,172390
2006-01-03,25.090000,25.288000,24.775999,24.999001,21.899258,922980
2006-01-04,25.105000,25.117001,24.825001,24.954000,21.859835,611200
2006-01-05,25.017000,25.160000,24.500000,24.600000,21.549728,1017870
2006-01-06,24.575001,24.795000,24.450001,24.731001,21.664488,461040
2006-01-09,24.899000,24.900000,24.450001,24.500000,21.462130,721750
2006-01-10,24.299999,24.823000,24.132999,24.200001,21.199326,1092210
2006-01-11,24.281000,24.459999,24.150000,24.430000,21.400806,573280
2006-01-12,24.493000,24.493000,24.280001,24.382999,21.359632,556680
2006-01-13,24.382000,24.475000,24.011999,24.066999,21.082817,616290
2006-01-16,24.091000,24.393000,24.018000,24.340000,21.321970,408790
2006-01-17,24.200001,25.099001,24.143000,25.099001,21.986853,1532600
2006-01-18,24.899000,25.948000,24.700001,25.090000,21.978971,3688270
2006-01-19,25.528999,26.094999,25.250999,25.725000,22.535240,1808090
2006-01-20,25.656000,25.799000,24.801001,25.035000,21.930788,751110
2006-01-23,24.900000,25.398001,24.770000,25.230000,22.101610,912100
2006-01-24,25.135000,25.468000,25.135000,25.334999,22.193596,569640
2006-01-25,25.764999,25.882000,25.542000,25.882000,22.672768,637380
2006-01-26,25.940001,26.690001,25.900000,26.330000,23.065218,1062130
2006-01-27,26.400999,26.785999,26.400999,26.540001,23.249180,1056070
2006-01-30,26.450001,26.898001,26.450001,26.850000,23.520742,635640
2006-01-31,27.087999,27.087999,26.020000,26.020000,22.793653,1121260
2006-02-01,26.198999,27.165001,25.740000,27.100000,23.739742,1339970
2006-02-02,27.347000,27.474001,26.201000,26.402000,23.128290,1342850
2006-02-03,26.534000,26.900999,26.058001,26.600000,23.301737,1328990
2006-02-06,26.576000,26.799000,26.450001,26.600000,23.301737,738330
2006-02-07,26.785000,26.785000,26.021999,26.200001,22.951340,719950
2006-02-08,26.098000,26.295000,25.933001,26.254999,22.999517,760910
2006-02-09,26.395000,26.834999,26.253000,26.825001,23.498840,965710
2006-02-10,26.559999,29.601999,26.559999,29.000000,25.404148,5601630
2006-02-13,29.799999,30.190001,29.025000,29.025000,25.426052,2122300
2006-02-14,28.808001,29.674999,28.355000,28.787001,25.217564,1832560
2006-02-15,29.399000,29.601000,28.820999,29.299999,25.666950,1550930
2006-02-16,29.587000,30.129000,29.500000,30.075001,26.345860,1363740
2006-02-17,30.254999,30.695999,29.684999,29.896999,26.189928,1484090
2006-02-20,29.719999,30.150000,29.500999,30.150000,26.411556,1052800
2006-02-21,30.250000,30.600000,30.027000,30.055000,26.328337,1218860
2006-02-22,30.120001,30.888000,30.010000,30.551001,26.762836,941830
2006-02-23,30.680000,30.877001,30.247999,30.590000,26.796999,873210
2006-02-24,30.513000,30.898001,30.052999,30.200001,26.455360,1073010
2006-02-27,30.599001,30.848000,30.403000,30.473000,26.694504,1218750
2006-02-28,30.733000,30.799999,30.129999,30.180000,26.437840,2142130
2006-03-01,30.198000,30.700001,30.194000,30.520000,26.735678,569210
2006-03-02,30.767000,31.239000,30.252001,30.552999,26.764585,1674610
2006-03-03,30.391001,31.191999,30.372000,30.896999,27.065935,984100
2006-03-06,31.000000,31.351000,30.780001,31.044001,27.194706,814220
2006-03-07,30.990000,31.139999,30.520000,30.589001,26.796124,1109610
2006-03-08,30.782000,30.782000,29.250000,29.540001,25.877195,1622630
2006-03-09,29.854000,30.000000,29.549999,29.840000,26.139999,518870
2006-03-10,29.893999,30.205000,29.799999,30.201000,26.456236,452960
2006-03-13,30.299999,30.889000,30.299999,30.759001,26.945045,553120
2006-03-14,30.730000,31.523001,30.520000,31.195000,27.326982,1025300
2006-03-15,31.451000,32.075001,31.320000,31.799999,27.856966,1332470
2006-03-16,31.900000,31.978001,30.849001,31.299000,27.418091,907130
2006-03-17,31.799999,32.188000,31.601000,31.673000,27.745718,1178470
2006-03-20,31.980000,32.498001,31.146000,31.302000,27.420715,1342620
2006-03-21,31.389999,31.591999,30.830000,31.198999,27.330484,1290450
2006-03-22,31.496000,31.496000,30.893000,31.204000,27.334867,843550
2006-03-23,31.289000,31.959000,31.201000,31.599001,27.680885,979750
2006-03-24,31.351000,31.900000,31.302999,31.450001,27.550364,702730
2006-03-27,31.600000,31.600000,31.010000,31.010000,27.164921,663860
2006-03-28,31.374001,31.389999,30.702000,30.711000,26.903000,678250
2006-03-29,30.799999,31.000000,29.947001,30.707001,26.899494,1318360
2006-03-30,30.700001,31.075001,30.612000,31.000000,27.156164,374290
2006-03-31,31.114000,31.330000,30.840000,31.246000,27.371662,475850
2006-04-03,31.646000,31.875000,31.278000,31.580999,27.665117,1048120
2006-04-04,31.485001,31.688999,31.112000,31.194000,27.326109,519010
2006-04-05,31.490000,31.599001,31.049999,31.051001,27.200838,946320
2006-04-06,31.299999,31.535999,30.930000,31.469999,27.567884,517850
2006-04-07,31.589001,31.589001,30.833000,30.899000,27.067688,506790
2006-04-10,31.040001,31.268000,31.000000,31.021000,27.174557,535530
2006-04-11,31.198999,31.398001,31.011000,31.200001,27.331360,809880
2006-04-12,31.149000,31.209000,30.405001,30.405001,26.634943,754710
2006-04-13,30.625000,31.451000,30.600000,31.002001,27.157913,638950
2006-04-18,31.180000,31.350000,30.615000,30.770000,26.954681,495480
2006-04-19,31.150000,31.750000,30.850000,31.600000,27.681765,571710
2006-04-20,31.790001,31.790001,31.000000,31.143000,27.281425,815410
2006-04-21,31.434000,31.650000,31.299999,31.650000,27.725565,971020
2006-04-24,31.650000,31.952000,31.350000,31.899000,27.943691,467780
2006-04-25,32.049999,33.049999,32.049999,32.799999,28.732971,1602500
2006-04-26,32.794998,33.000000,32.669998,32.799999,28.732971,867430
2006-04-27,32.900002,33.200001,31.601999,32.570000,28.531490,1376010
2006-04-28,32.200001,32.825001,30.945000,31.951000,28.162174,2574420
2006-05-02,31.737000,32.200001,31.150000,31.790001,28.020271,1490160
2006-05-03,31.738001,32.285000,31.738001,32.242001,28.418669,1481000
2006-05-04,32.480000,32.625000,31.919001,31.983000,28.190380,800430
2006-05-05,32.143002,33.000000,32.143002,33.000000,29.086786,1252940
2006-05-08,32.799999,33.049999,32.619999,33.000000,29.086786,761420
2006-05-09,33.099998,33.450001,32.900002,33.275002,29.329176,1021360
2006-05-10,33.250999,33.500000,33.000000,33.311001,29.360905,1042430
2006-05-11,33.380001,33.820000,32.653999,32.700001,28.822359,754300
2006-05-12,32.562000,32.639999,31.511000,31.643999,27.891582,1350740
2006-05-15,31.549999,31.549999,30.322001,31.250000,27.544308,1430410
